"conference_acronym","conference_name","conference_location"
"2591","KARE  2017","KARE 2017 - The 9th International Workshop on Knowledge Acquisition Reuse & Evaluation","Jaipur, India"
"2601","VICTA 2017","Workshop on Visions on Internet of Cultural Things and Applications","Jaipur, India"
"2612","IEEE ITNEC 2017","2017 IEEE 2nd Information Technology,Networking,Electronic and Automation Control Conference","ChengDu,China"
"2621","PredictGIS 2017","1st Workshop on Prediction of Human Mobility at ACM SIGSPATIAL 2017 (PredictGIS 2017)","Redondo Beach, California, USA"
"2631","IEEE FRUCT 2017","21st Conference of Open Innovations Association FRUCT","Helsinki, Finland"
"2641","ACM SAC-RS 2018","ACM SIGAPP Symposium On Applied Computing 2018 - Track on Recommender Systems: Theory, User Interactions and Applications","Pau, France"
"2651","TAAI 2017","The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]","Taipei, Taiwan"
"2661","LKE 2017","5th International Symposium on Language & Knowledge Engineering","Puebla, Mexico"
"2671","DMIP 2017","The 1st ICDM Workshop on Data Mining in Practice: Automation and Cost","New Orleans (USA)"
"2681","ICON 2017","14th International Conference on Natural Language Processing ","Jadavpur University, Kolkata, India"
"2691","SIGSPATIAL Workshops  2017","SIGSPATIAL Workshops 2017","Redondo Beach, California, USA "
"2701","INCISCOS 2017","2nd International Conference on Information Systems and Computer Science","Quito - Ecuador"
"2712","BDCAT 2017","The 4th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies","Austin, Texas, USA"
"2721","DSHCM  2017","Final Call for Papers - The 1st International Workshop on Data Science for Human Capital Management (collocated with IEEE ICDM'17)","New Orleans, LA, USA"
"2731","TRAP 2017","First European Conference on Traffic Mining Applied to Police Activities","Rome"
"2741","BDVA 2017","International Symposium on Big Data Visual Analytics","Adelaide, Australia"
"2751","ICT & KE 2017","The 15th International Conference on ICT and Knowledge Engineering","Bangkok, Thailand"
"2761","ICDM ARIAL 2017","1st Workshop on Data mining for Aging, Rehabilitation and Independent Assisted Living (ARIAL) in conjunction with International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"2771","SERecSys 2017","2nd ICDM Workshop on Semantics-Enabled Recommender Systems","New Orleans (USA)"
"2781","ICDM - MoDAT 2017","The 5th International Workshop on the Market of Data - Creating tools, data, and sensors from the Social Intelligence ","New Orleans, USA"
"2791","ACUMEN 2017","Data Science for Human Performance in Social Networks","ICDM17, New Orleans, USA"
"2801","DAPS 2017","Data mining for the Analysis of Performance and Success (workshop @ ICDM2017)","New Orleans"
"2812","HighStream@ICDM 2017","1st High-Performance Data Stream Mining Workshop at International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"2821","HighStream@ICDM 2017","1st High-Performance Data Stream Mining Workshop at International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"2831","DMCS  2017","DMCS - Data Mining for Cyber Security 2017 (collocated with IEEE ICDM'17)","New Orleans"
"2841","IEEE Big Data 2017","2017 IEEE International Conference on Big Data","Boston, MA, USA"
"2851","ACML 2017","The 9th Asian Conference on Machine Learning","Seoul, Korea"
"2861","ACML  2017","The 9th Asian Conference on Machine Learning","Seoul, Korea"
"2871","ICICT 2017","CFP - The IEEE International Conference ICICT at India, Due: 4 Aug 2017","India"
"2881","FICC 2018","The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017","Singapore"
"2891","ICPET 2017","International Conference on Promising Electronic Technologies 2017","Deir El-Balah, Palestine"
"2901","HPGDML 2017","High Performance Graph Data Mining and Machine Learning Workshop","New Orleans, USA"
"2912","IP&M SI 2017","IP&M Special Issue on Processing Social Media in Real-Time","N/A"
"2921","GDM book 2017","Data Analytics Applications in Gaming and Entertainment","N/A"
"2931","BAFI 2018","Business Analytics in Finance and Industry","Santiago, Chile"
"2941","GISCUP  2017","The 6th GIS-focused algorithm competition, GISCUP 2017","Los Angeles, CA"
"2951","ADMA 2017","The 13th International Conference on Advanced Data Mining and Applications","Singapore"
"2961","KDD 2017","Networking with Experts - Call for Proposals","Halifax, Nova Scotia"
"2971","Workshop on Massive Dataflow Analysis 2017","In conjunction The 14th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA 2017)","Hammamet, Tunisia"
"2981","MIWAI 2017","The 11th Multi-disciplinary International Workshop on Artificial Intelligence","Brunei"
"2991","DEAs 2017","Data Enabled Applications 2017","Universiti Teknologi Brunei"
"3001","LIDTA 2017","1st International Workshop on Learning with Imbalanced Domains: Theory and Applications","Skopje, Macedonia"
"3012","FADS 2017","International Conference on the Frontiers and Advances in Data Science","Xi'an, China"
"3021","IEEE ITOEC 2017","2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference ","Chongqing"
"3031","SoGood 2017","2nd Workshop on Data Science for Social Good @ ECML PKDD","Skopje, Macedonia"
"3041","MLSA 2017","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2017)","Skopje"
"3051","ICDIM 2017","Twelfth International Conference on Digital Information Management ","Fukuoka, Japan"
"3061","EIDSS 2017","Exploring Intelligent Decision Support Systems: Current State and  New Trends","N/A"
"3071","DMBD 2017","DMBD'2017:Call for Papers (Jan. 30, 2017)","Fukuoka, Japan"
"3081","IDEAL 2017","18th International Conference on Intelligent Data Engineering and Automated Learning ","Guilin, China"
"3091","MoD@ITSC 2017","1st ITSC Workshop on Modelling, Analysis and Control of Intelligent Mobility-on-Demand Systems","Yokohama, Japan"
"3102","BDBI 2017","3rd CFC: Utilizing Big Data Paradigms for Business Intelligence","N/A"
"3112","KDD 2017","Call for Participation: KDD'17 registration is now open","Halifax, Nova Scotia, Canada"
"3121","RecSysKTL 2017","Workshop on Intelligent Recommender Systems by Knowledge Transfer and Learning","Como, Italy"
"3131","KDD 2017","KDD 2017 Startup Travel Awards - Final Call for Applications","Halifax, Nova Scotia"
"3141","SABID - ApJS 2017","Management, Search and Analysis of Solar and Stellar Astronomy Big Data (SABID) - SPECIAL ISSUE IN JOURNAL","Astrophysical Journal - Supplement Serie"
"3151","EGR 2017","Call for Proposals: LinkedIn Economic Graph Research","N/A"
"3161","SIGSPATIAL 2017","The 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (ACM SIGSPATIAL GIS 2017)","Los Angeles, CA"
"3171","DSAA 2017","The 4th IEEE International Conference on Data Science and Advanced Analytics 2017","Tokyo, Japan"
"3181","EnGeoData@DSAA 2017","Special Session EnGeoData - Environmental and Geo-spatial Data Analytics - DSAA'2017"," Tokyo, Japan"
"3191","DS 2017","The 20th International Conference on Discovery Science","Kyoto, Japan"
"3201","ICDM 2017","IEEE International Conference on Data Mining 2017","NEW ORLEANS, USA"
"3212","IDEA 2017","KDD 2016 Workshop on Interactive Data Exploration and Analytics (KDD-IDEA)","Halifax, Nova Scotia, Canada"
"3221","DaMIS 2017","DaMIS 2017: The 2nd Edition of the International Workshop on Data Mining on IoT Systems","Lund, Sweden"
"3231","AusDM 2017","15th Australasian Data Mining Conference","Melbourne, Australia"
"3241","UrbComp 2017","UrbComp 2017 : The 6th International Workshop on Urban Computing (in conjunction with KDD'17)","Halifax, Canada"
"3251","KDD MiLeTS Workshop 2017","SIGKDD Workshop on Mining and Learning from Time Series (MiLeTS 2017)","Halifax, Nova Scotia, Canada"
"3261","SML 2017","IJCAI Workshop on Semantic Machine Learning (SML 2017)  ","Melbourne, Australia"
"3271","Fashion-ML-KDD 2017","Machine Learning Meets Fashion ","Halifax, Nova Scotia - Canada"
"3281","MLG 2017","13th International Workshop on Mining and Learning with Graphs","Halifax, Nova Scotia, Canada"
"3291","CD 2017","The 2017 ACM SIGKDD Workshop on Causal Discovery ","Halifax, Nova Scotia, Canada"
"3301","LDM 2017","The 2017 International Workshop on Linked Data Mining","Hefei, China"
"3312","EvoNets@DSAA 2017","Special Session on on Evolving Networks - DSAA'2017","Tokyo, Japan"
"3321","DSSD 2017","Data Science in Societal Debates","Tokyo, Japan"
"3331","Game Data Science 2017","Special Session on Game Data Science at IEEE DSAA2017","Tokyo"
"3341","AKTS 2017","Special Session on Innovative Applications for Knowledge Transfer Support","Druskininkai, Lithuania"
"3351","BIOKDD 2017","International Workshop on Data Mining in Bioinformatics (BIOKDD'17)","Halifax, Canada"
"3361","CIARP 2017","22nd Iberoamerican Congress on Pattern Recognition","Valparaiso, Chile"
"3371","DIM 2017","Extended: The Six IEEE International Workshop on Data Integration and Mining","San Diego, USA"
"3381","INIT/AERFAISummerSchoolML 2017","INIT/AERFAI Summer School on Machine Learning","Benicàssim (Spain)"
"3391","IDA 2017","The Sixteenth International Symposium on Intelligent Data Analysis","London, UK"
"3401","DIPDMWC 2017","The Fourth International Conference on Digital Information Processing, Data Mining and Wireless Communication (DIPDMWC2017)","Universitas Mercu Buana - Meruya Campus"
"3412","WISE 2017","WISE 2017: The 18th International Conference on Web Information Systems Engineering","Moscow, Russia"
"3421","AdCHIReS 2017","Special Issue on Advances in Computer-Human Interaction for Recommender Systems","N/A"
"3431","Workshop - DMIN 2017","Workshop on Data Mining in Transportation Security","Las Vegas, Nevada"
"3441","ICIIP 2018","<U+3010>ACM-ICPS<U+3011>Ei Compendex - Scopus - 2018 3rd International Conference on Intelligent Information Processing","Guilin"
"3451","DTWSM 2017","The 4th International Workshop on Data, Text, Web, and Social Network Mining","Helsinki, Finland"
"3461","KDD 2017","CALL FOR 2017 ACM SIGKDD INNOVATION AND SERVICE AWARDS NOMINATIONS","Halifax, Nova Scotia, Canada"
"3471","WPRSM 2017","The International Workshop on Web Personalization, Recommender Systems and Social Media","Leipzig, Germany "
"3481","COREDEMA 2017","3rd International Workshop on Conflict Resolution in Decision Making","Melbourne, Austrailia"
"3491","APDM 2017","IJCAI 2017 Workshop: Abuse Preventive Data Mining 2017","Melbourne"
"3501","AIST 2017","The 6th International Conference on Analysis of Images, Social Networks, and Texts","Moscow, Russia"
"3512","AIM@EPIA 2017","Artificial Intelligence in Medicine","Porto, Portugal"
"3521","BI 2017","The 2017 International Conference on Brain Informatics","Beijing, China"
"3531","KDD 2017","ACM SIGKDD TEST-OF-TIME PAPER AWARDS - CALL FOR NOMINATION","Halifax, Nova Scotia, Canada"
"3541","KES PR TAC 2017","Extended Deadline KES 2017 Session on Pattern Recognition: Trends, Applications and Challenges","Marseille, France"
"3551","GTM 2017","7th Global TechMining Conference","Atlanta, GA"
"3561","SI-IJCSA 2017","Special Issue on Advances in Computing","N/A"
"3571","KDD 2017","2017 SIGKDD Doctoral Dissertation Award","Halifax, Nova Scotia, Canada"
"3581","DSCI 2017","CFP deadline Apr 28 23:59 GMT, Data Science and Computational Intelligence@San Francisco, USA","San Francisco"
"3591","ECML-PKDD 2017","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery","Skopje, Macedonia"
"3601","WPDM 2017","The first International Workshop on Parallel Data Mining","Genoa, Italy"
"3612","ST-Analytics 2017","Advances in Spatio-Temporal Analytics","Trieste, Italy"
"3621","IEEE ISI 2017","IEEE International Conference on Intelligence and Security Informatics (ISI)","Beijing, China"
"3631","IEEE ISI 2017","2017 IEEE International Conference on Intelligence and Security Informatics","Beijing, China"
"3641","IEEE ISI 2017","The 2017 IEEE International Conference on Intelligence and Security Informatics (ISI)","Beijing"
"3651","Special Session in SMC 2017","Special Session on Information Systems for Design and Marketing in IEEE SMC 2017","Banff, Canada"
"3661","AI 2017","30th Australasian Joint Conference on Artificial Intelligence","Melbourne, Australia"
"3671","EnCHIReS  2017","2nd ACM EICS Workshop on Engineering Computer-Human Interaction in Recommender Systems","Lisbon, Portugal"
"3681","INDIA 2017","Knoweldge-driven Computing (KDC) Special Session at INDIA-2017 International Conference","Vietnam"
"3691","SMMA 2017","CFP Deadline Mar 31st: Social Media Mining and Analysis 2017 @Great Britain","Exeter, England"
"3701","AISI 2017","The 3rd International Conference on Advanced Intelligent Systems and Informatics ","Cairo, Egypt"
"3712","SDAM 2017","Special Session on Smart Data and Data Analytics for Automation and Manufacturing Systems  at IEEE 15th Conference on Industrial Inforamtics INDIN'2017 ","Emden, Germany"
"3721","IJCRS 2017","International Joint Conference on Rough Sets","Olsztyn, Poland"
"3731","DaWaK 2017","19th International Conference on Big Data Analytics and Knowledge Discovery","Lyon, France"
"3741","Smart X 2017","The 2017 International Conference on Smart X","Guangzhou"
"3751","DEW 2017","Data Exploration in the Web 3.0 Age (IEEE WETICE 2017 track)","Poznan, Poland"
"3761","ACM-BCB 2017","8th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics - Call for Tutorials","Boston, MA"
"3771","GeoRich 2017","GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5","TBD"
"3781","GeoRich 2017","GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES","TBD"
"3791","NetCrime 2017","Symposium on the Structure and Mobility of Crime","Indianapolis, Indiana, USA"
